"filename", "language", "JSON", "TypeScript", "HTML", "JavaScript", "JSON with Comments", "Batch", "XML", "Rust", "TOML", "Markdown", "TypeScript JSX", "YAML", "CSS", "Protocol Buffers", "comment", "blank", "total"
"c:\Users\gamin\Desktop\Projects\strife\src-tauri\src\events.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 3
"c:\Users\gamin\Desktop\Projects\strife\src-tauri\src\events\auth.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 141, 0, 0, 0, 0, 0, 0, 1, 22, 164
"c:\Users\gamin\Desktop\Projects\strife\src-tauri\src\events\debug.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\gamin\Desktop\Projects\strife\src-tauri\src\events\main_app.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 157, 0, 0, 0, 0, 0, 0, 3, 24, 184
"c:\Users\gamin\Desktop\Projects\strife\src-tauri\src\main.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 130, 0, 0, 0, 0, 0, 0, 9, 31, 170
"c:\Users\gamin\Desktop\Projects\strife\src-tauri\src\main_app_state.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 95, 0, 0, 0, 0, 0, 0, 1, 21, 117
"c:\Users\gamin\Desktop\Projects\strife\src-tauri\src\modules.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 7, 15
"c:\Users\gamin\Desktop\Projects\strife\src-tauri\src\modules\auth.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 542, 0, 0, 0, 0, 0, 0, 6, 51, 599
"c:\Users\gamin\Desktop\Projects\strife\src-tauri\src\modules\gateway.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 422, 0, 0, 0, 0, 0, 0, 24, 69, 515
"c:\Users\gamin\Desktop\Projects\strife\src-tauri\src\modules\gateway_utils.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 55, 0, 0, 0, 0, 0, 0, 47, 15, 117
"c:\Users\gamin\Desktop\Projects\strife\src-tauri\src\modules\main_app.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 399, 0, 0, 0, 0, 0, 0, 8, 49, 456
"c:\Users\gamin\Desktop\Projects\strife\src-tauri\src\modules\remote_auth.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 349, 0, 0, 0, 0, 0, 0, 2, 55, 406
"c:\Users\gamin\Desktop\Projects\strife\src-tauri\src\modules\user_manager.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 104, 0, 0, 0, 0, 0, 0, 2, 14, 120
"c:\Users\gamin\Desktop\Projects\strife\src-tauri\src\modules\voice_gateway.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 346, 0, 0, 0, 0, 0, 0, 0, 42, 388
"c:\Users\gamin\Desktop\Projects\strife\src-tauri\src\modules\websocket.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 57, 0, 0, 0, 0, 0, 0, 1, 8, 66
"c:\Users\gamin\Desktop\Projects\strife\src-tauri\src\notifications.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 74, 0, 0, 0, 0, 0, 0, 8, 14, 96
"c:\Users\gamin\Desktop\Projects\strife\src-tauri\src\proto\Formated_Guilds.proto", "Protocol Buffers", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 9, 22
"c:\Users\gamin\Desktop\Projects\strife\src-tauri\src\proto\PreloadedUserSettings.proto", "Protocol Buffers", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 206, 0, 35, 241
"c:\Users\gamin\Desktop\Projects\strife\src-tauri\src\proto\d.proto", "Protocol Buffers", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 3, 8
"c:\Users\gamin\Desktop\Projects\strife\src-tauri\src\tests.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 80, 0, 0, 0, 0, 0, 0, 2, 9, 91
"c:\Users\gamin\Desktop\Projects\strife\src-tauri\src\token_utils.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 2, 9
"c:\Users\gamin\Desktop\Projects\strife\src-tauri\src\webview_packets.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 161, 0, 0, 0, 0, 0, 0, 7, 19, 187
